work_order_id,machine_id,operator_empid,part_number,customer_id,scheduled_start,scheduled_end,actual_start,actual_end,scheduled_hours,actual_hours,setup_hours_actual,job_status,material_type
WO-100137,MCH-012,1078,57400-10,CUST-01,2023-01-14 14:00:00,2023-01-14 16:18:00,2023-01-14 14:55:00,2023-01-14 17:46:00,2.3,2.4,0.45,COMPLETE,Aluminum
WO-100138,MCH-004,1067,38080-09,CUST-06,2023-01-14 06:45:00,2023-01-14 17:27:00,2023-01-14 07:38:00,2023-01-14 22:35:36,10.7,14.5,0.46,COMPLETE,Aluminum
WO-100139,MCH-008,1025,50306-04,CUST-05,2023-01-14 06:15:00,2023-01-14 15:09:00,2023-01-14 06:53:00,2023-01-14 19:13:24,8.9,11.9,0.44,COMPLETE,Aluminum
WO-100140,MCH-001,1009,84341-12,CUST-03,2023-01-14 06:30:00,2023-01-14 12:12:00,2023-01-14 06:04:00,2023-01-14 13:39:24,5.7,7.1,0.49,COMPLETE,Aluminum
WO-100141,MCH-002,1063,24322-04,CUST-01,2023-01-14 15:15:00,2023-01-14 18:51:00,2023-01-14 15:49:00,2023-01-14 20:08:48,3.6,4.0,0.33,COMPLETE,Aluminum
WO-100142,MCH-002,1078,24322-04,CUST-03,2023-01-14 15:15:00,2023-01-14 18:51:00,2023-01-14 15:07:00,2023-01-14 19:15:24,3.6,3.7,0.44,COMPLETE,Aluminum
WO-100143,MCH-007,1019,80284-02,CUST-01,2023-01-14 14:45:00,2023-01-14 16:51:00,2023-01-14 14:56:00,2023-01-14 17:26:00,2.1,2.1,0.4,COMPLETE,Titanium
WO-100144,MCH-007,1054,44522-09,CUST-02,2023-01-14 07:15:00,2023-01-14 12:09:00,2023-01-14 06:52:00,2023-01-14 13:22:00,4.9,6.1,0.4,COMPLETE,Stainless
WO-100145,MCH-003,1063,40512-02,CUST-02,2023-01-14 15:15:00,2023-01-14 18:45:00,2023-01-14 15:13:00,,3.5,,0.43,ON_HOLD,Aluminum
WO-100146,MCH-008,1085,16572-10,CUST-04,2023-01-14 14:00:00,2023-01-14 23:00:00,2023-01-14 14:37:00,2023-01-15 00:45:24,9.0,9.7,0.44,COMPLETE,Steel
WO-100147,MCH-002,1042,16572-10,CUST-02,2023-01-14 06:15:00,2023-01-14 15:15:00,2023-01-14 06:26:00,2023-01-14 20:18:48,9.0,13.6,0.28,COMPLETE,Steel
WO-100148,MCH-011,1054,80284-02,CUST-02,2023-01-14 07:45:00,2023-01-14 09:51:00,2023-01-14 08:27:00,2023-01-14 11:11:24,2.1,2.3,0.44,COMPLETE,Titanium
WO-100149,MCH-005,1009,80381-05,CUST-01,2023-01-14 06:00:00,2023-01-14 07:36:00,2023-01-14 06:24:00,2023-01-14 08:31:48,1.6,1.7,0.43,COMPLETE,Stainless
WO-100150,MCH-001,1054,83563-04,CUST-06,2023-01-14 07:30:00,2023-01-14 11:48:00,2023-01-14 07:48:00,2023-01-14 12:58:48,4.3,4.7,0.48,COMPLETE,Steel
WO-100151,MCH-007,1013,89507-07,CUST-04,2023-01-16 07:15:00,2023-01-16 17:33:00,2023-01-16 07:13:00,2023-01-16 17:15:24,10.3,9.5,0.54,COMPLETE,Titanium
WO-100152,MCH-005,1085,34890-05,CUST-02,2023-01-16 14:00:00,2023-01-16 16:30:00,2023-01-16 13:34:00,2023-01-16 16:19:00,2.5,2.4,0.35,COMPLETE,Aluminum
WO-100153,MCH-001,1088,22156-07,CUST-01,2023-01-16 06:15:00,2023-01-16 11:39:00,2023-01-16 05:50:00,2023-01-16 12:06:48,5.4,5.7,0.58,COMPLETE,Aluminum
WO-100154,MCH-004,1013,62565-01,CUST-08,2023-01-16 07:15:00,2023-01-16 09:03:00,2023-01-16 07:23:00,2023-01-16 09:55:24,1.8,2.0,0.54,COMPLETE,Aluminum
WO-100155,MCH-009,1009,10074-10,CUST-07,2023-01-16 06:45:00,2023-01-16 09:39:00,2023-01-16 07:26:00,2023-01-16 10:35:36,2.9,2.8,0.36,COMPLETE,Aluminum
WO-100156,MCH-011,1019,38080-09,CUST-01,2023-01-16 14:15:00,2023-01-17 00:57:00,2023-01-16 14:23:00,2023-01-17 05:31:24,10.7,14.7,0.44,COMPLETE,Aluminum
WO-100157,MCH-008,1009,38080-09,CUST-01,2023-01-16 06:30:00,2023-01-16 17:12:00,2023-01-16 06:26:00,2023-01-16 22:08:36,10.7,15.2,0.51,COMPLETE,Aluminum
WO-100158,MCH-008,1031,34890-05,CUST-03,2023-01-16 14:00:00,2023-01-16 16:30:00,2023-01-16 13:54:00,2023-01-16 16:54:36,2.5,2.6,0.41,COMPLETE,Aluminum
WO-100159,MCH-011,1054,62350-06,CUST-01,2023-01-16 06:15:00,2023-01-16 12:33:00,2023-01-16 06:09:00,,6.3,,0.52,ON_HOLD,Aluminum
WO-100160,MCH-008,1088,40007-02,CUST-06,2023-01-16 07:30:00,2023-01-16 17:30:00,2023-01-16 07:33:00,2023-01-16 18:55:48,10.0,10.8,0.58,COMPLETE,Stainless
WO-100161,MCH-008,1054,50306-04,CUST-04,2023-01-16 07:00:00,2023-01-16 15:54:00,2023-01-16 07:42:00,2023-01-16 21:31:48,8.9,13.5,0.33,COMPLETE,Aluminum
WO-100162,MCH-001,1085,76540-10,CUST-02,2023-01-16 15:30:00,2023-01-16 16:48:00,2023-01-16 15:32:00,2023-01-16 17:01:24,1.3,1.2,0.29,COMPLETE,Aluminum
WO-100163,MCH-012,1048,52504-01,CUST-03,2023-01-17 14:45:00,2023-01-17 16:21:00,2023-01-17 14:38:00,2023-01-17 16:52:24,1.6,1.7,0.54,COMPLETE,Aluminum
WO-100164,MCH-011,1042,22156-07,CUST-01,2023-01-17 06:00:00,2023-01-17 11:24:00,2023-01-17 07:00:00,2023-01-17 13:19:12,5.4,5.9,0.42,COMPLETE,Aluminum
WO-100165,MCH-008,1096,69929-06,CUST-03,2023-01-17 15:45:00,2023-01-18 01:09:00,2023-01-17 15:17:00,2023-01-18 01:27:48,9.4,9.7,0.48,COMPLETE,Stainless
WO-100166,MCH-001,1025,34890-05,CUST-01,2023-01-17 06:00:00,2023-01-17 08:30:00,2023-01-17 05:42:00,2023-01-17 08:55:48,2.5,2.7,0.53,COMPLETE,Aluminum
WO-100167,MCH-010,1019,44522-09,CUST-04,2023-01-17 15:45:00,2023-01-17 20:39:00,2023-01-17 16:27:00,2023-01-17 22:43:48,4.9,6.0,0.28,COMPLETE,Stainless
WO-100168,MCH-005,1042,80284-02,CUST-03,2023-01-17 06:00:00,2023-01-17 08:06:00,2023-01-17 06:33:00,2023-01-17 08:57:00,2.1,2.1,0.3,COMPLETE,Titanium
WO-100169,MCH-006,1042,24371-03,CUST-04,2023-01-17 07:30:00,2023-01-17 10:42:00,2023-01-17 07:05:00,2023-01-17 10:30:48,3.2,3.0,0.43,COMPLETE,Steel
WO-100170,MCH-005,1013,50306-04,CUST-01,2023-01-17 07:00:00,2023-01-17 15:54:00,2023-01-17 07:08:00,2023-01-17 18:58:24,8.9,11.3,0.54,COMPLETE,Aluminum
WO-100171,MCH-007,1085,97841-05,CUST-01,2023-01-17 14:30:00,2023-01-17 19:24:00,2023-01-17 14:06:00,2023-01-17 19:48:36,4.9,5.2,0.51,COMPLETE,Steel
WO-100172,MCH-002,1085,50306-04,CUST-03,2023-01-17 15:45:00,2023-01-18 00:39:00,2023-01-17 16:10:00,2023-01-18 03:57:24,8.9,11.3,0.49,COMPLETE,Aluminum
WO-100173,MCH-007,1025,71348-09,CUST-02,2023-01-17 06:45:00,2023-01-17 11:45:00,2023-01-17 07:36:00,2023-01-17 14:04:48,5.0,6.0,0.48,COMPLETE,Aluminum
WO-100174,MCH-006,1067,93810-02,CUST-03,2023-01-17 06:15:00,2023-01-17 07:39:00,2023-01-17 06:40:00,2023-01-17 08:38:48,1.4,1.5,0.48,COMPLETE,Aluminum
WO-100175,MCH-007,1042,80284-02,CUST-02,2023-01-17 07:45:00,2023-01-17 09:51:00,2023-01-17 07:16:00,2023-01-17 09:38:48,2.1,2.0,0.38,COMPLETE,Titanium
WO-100176,MCH-002,1013,54313-01,CUST-02,2023-01-17 06:45:00,2023-01-17 08:09:00,2023-01-17 06:50:00,2023-01-17 08:35:00,1.4,1.3,0.45,COMPLETE,Steel
WO-100177,MCH-002,1063,71348-09,CUST-01,2023-01-17 14:45:00,2023-01-17 19:45:00,2023-01-17 14:28:00,2023-01-17 20:57:24,5.0,6.0,0.49,COMPLETE,Aluminum
WO-100178,MCH-007,1085,19071-09,CUST-04,2023-01-17 14:30:00,2023-01-17 16:30:00,2023-01-17 14:41:00,2023-01-17 17:08:00,2.0,2.0,0.45,COMPLETE,Stainless
WO-100179,MCH-006,1009,50306-04,CUST-05,2023-01-18 07:15:00,2023-01-18 16:09:00,2023-01-18 07:26:00,2023-01-18 16:14:36,8.9,8.5,0.31,COMPLETE,Aluminum
WO-100180,MCH-007,1031,34356-02,CUST-05,2023-01-18 14:45:00,2023-01-18 18:09:00,2023-01-18 15:45:00,2023-01-18 19:25:48,3.4,3.2,0.48,COMPLETE,Steel
WO-100181,MCH-012,1009,11934-02,CUST-01,2023-01-18 07:15:00,2023-01-18 11:45:00,2023-01-18 07:39:00,2023-01-18 12:59:24,4.5,4.8,0.54,COMPLETE,Stainless
WO-100182,MCH-010,1085,34890-05,CUST-03,2023-01-18 15:00:00,2023-01-18 17:30:00,2023-01-18 14:43:00,2023-01-18 17:34:36,2.5,2.5,0.36,COMPLETE,Aluminum
WO-100183,MCH-006,1042,34356-02,CUST-01,2023-01-18 07:30:00,2023-01-18 10:54:00,2023-01-18 07:55:00,2023-01-18 11:56:12,3.4,3.7,0.32,COMPLETE,Steel
WO-100184,MCH-004,1054,62296-11,CUST-02,2023-01-18 07:00:00,2023-01-18 09:00:00,2023-01-18 07:31:00,2023-01-18 09:50:12,2.0,2.0,0.32,COMPLETE,Steel
WO-100185,MCH-002,1013,89507-07,CUST-02,2023-01-18 06:45:00,2023-01-18 17:03:00,2023-01-18 06:59:00,2023-01-18 21:17:00,10.3,13.9,0.4,COMPLETE,Titanium
WO-100186,MCH-012,1019,22156-07,CUST-03,2023-01-18 14:15:00,2023-01-18 19:39:00,2023-01-18 14:16:00,2023-01-18 19:58:36,5.4,5.2,0.51,COMPLETE,Aluminum
WO-100187,MCH-006,1048,24371-03,CUST-03,2023-01-18 14:45:00,2023-01-18 17:57:00,2023-01-18 15:05:00,2023-01-18 19:01:24,3.2,3.4,0.54,COMPLETE,Steel
WO-100188,MCH-004,1085,54313-01,CUST-02,2023-01-18 14:00:00,2023-01-18 15:24:00,2023-01-18 14:38:00,2023-01-18 16:18:12,1.4,1.3,0.37,COMPLETE,Steel
WO-100189,MCH-008,1025,11934-02,CUST-02,2023-01-18 07:45:00,2023-01-18 12:15:00,2023-01-18 08:30:00,2023-01-18 13:36:36,4.5,4.5,0.61,COMPLETE,Stainless
WO-100190,MCH-008,1025,69929-06,CUST-03,2023-01-18 06:15:00,2023-01-18 15:39:00,2023-01-18 06:32:00,2023-01-18 16:35:36,9.4,9.6,0.46,COMPLETE,Stainless
WO-100191,MCH-007,1009,63354-04,CUST-01,2023-01-18 06:15:00,2023-01-18 10:27:00,2023-01-18 06:47:00,2023-01-18 11:09:12,4.2,3.9,0.47,COMPLETE,Aluminum
WO-100192,MCH-010,1071,93810-02,CUST-04,2023-01-19 07:45:00,2023-01-19 09:09:00,2023-01-19 08:42:00,2023-01-19 10:28:12,1.4,1.4,0.37,COMPLETE,Aluminum
WO-100193,MCH-008,1078,80284-02,CUST-03,2023-01-19 14:30:00,2023-01-19 16:36:00,2023-01-19 14:04:00,2023-01-19 16:36:24,2.1,2.1,0.44,COMPLETE,Titanium
WO-100194,MCH-003,1048,16572-10,CUST-08,2023-01-19 15:00:00,2023-01-20 00:00:00,2023-01-19 15:26:00,2023-01-20 00:51:12,9.0,9.0,0.42,COMPLETE,Steel
WO-100195,MCH-002,1025,83563-04,CUST-01,2023-01-19 06:45:00,2023-01-19 11:03:00,2023-01-19 06:30:00,2023-01-19 11:58:48,4.3,4.9,0.58,COMPLETE,Steel
WO-100196,MCH-012,1085,52504-01,CUST-02,2023-01-19 15:30:00,2023-01-19 17:06:00,2023-01-19 16:16:00,2023-01-19 18:19:00,1.6,1.6,0.45,COMPLETE,Aluminum
WO-100197,MCH-012,1063,34356-02,CUST-08,2023-01-19 14:15:00,2023-01-19 17:39:00,2023-01-19 14:37:00,2023-01-19 18:07:36,3.4,3.2,0.31,COMPLETE,Steel
WO-100198,MCH-011,1013,71348-09,CUST-01,2023-01-19 07:45:00,2023-01-19 12:45:00,2023-01-19 07:33:00,2023-01-19 13:18:36,5.0,5.3,0.46,COMPLETE,Aluminum
WO-100199,MCH-007,1048,22156-07,CUST-04,2023-01-19 14:45:00,2023-01-19 20:09:00,2023-01-19 15:20:00,2023-01-19 21:25:24,5.4,5.5,0.59,COMPLETE,Aluminum
